ScreenName,Time,Date,TimeZone,Tweet,InReplyToUserID,FavoriteCount,RetweetCount,SentimentAverage
@BernieSanders,21:40:42,06/05/16,UTC,"It is time to say enough is enough. It is time to end religious bigotry.
https://t.co/cxfn7DfVG9",None,5425,2840,0.0
@BernieSanders,19:26:33,06/05/16,UTC,"Puerto Rico — ¡Tu voto es tu voz! Si ya estás en el centro de votación, quédate ahí hasta que puedas votar. #Primarias2016",None,1454,561,0.0
@BernieSanders,18:06:12,06/05/16,UTC,"Puerto Rico — llegó tu turno de votar por nuestro movimiento. Lleva a tu familia y amigos y asegúrense de votar. https://t.co/JC8lDBAup6",None,1614,672,0.0
@BernieSanders,16:59:59,06/05/16,UTC,"Hermanas y hermanos en Puerto Rico: sus voces deben ser escuchadas hoy. Salgan a votar. 
https://t.co/VUbvlQi6l9",None,1059,431,0.0
@BernieSanders,16:33:11,06/05/16,UTC,"RT @CNNSotu: @BernieSanders says Clinton is wrong on fracking: “She thinks we can ‘regulate’ it… she pushed fracking in other countries...”…",None,0,880,0.0
@BernieSanders,15:32:06,06/05/16,UTC,"When people have something to vote for rather than just against, progressives and Democrats win.
https://t.co/BLFUmhC6Gt",None,3145,1405,0.0
@BernieSanders,14:31:07,06/05/16,UTC,"While California is in a drought, we are injecting 160K gallons of clean water for every fracked well.
https://t.co/SJGI3cBg5f",None,5949,4379,0.0
@BernieSanders,04:20:16,06/05/16,UTC,"RT @KThomasDC: More than 13,500 at @BernieSanders rally outside LA Coliseum. https://t.co/fUgWZ6Bjcq",None,0,1460,0.0
@BernieSanders,01:32:49,06/05/16,UTC,""I spent almost half of my life in prison. I was a dreamer. I was 17. My mustache had just grown in." – Chris Wilson
https://t.co/707qYRhB7R",None,10965,5215,0.0
@BernieSanders,00:33:40,06/05/16,UTC,"We must do all we can to provide a pathway to citizenship for the 11 million aspiring Americans living in the U.S.
https://t.co/Uj2nz1hskx",None,2107,929,0.0
@BernieSanders,23:53:58,06/04/16,UTC,"We must protect children fleeing to the U.S. from violence in Central America, not use them to "send a message." https://t.co/8I1LPn5HAZ",None,5443,2478,0.0
@BernieSanders,23:51:38,06/04/16,UTC,"RT @KThomasDC: .@BernieSanders walking streets of Huntington Park. "There's an election on Tuesday. We need your help!" https://t.co/WRfOiR…",None,0,1113,0.0
@BernieSanders,22:54:05,06/04/16,UTC,"I applaud President Obama on his historic support for expanding Social Security. https://t.co/G4h5QpbG3t",None,6154,2073,0.0
@BernieSanders,22:23:51,06/04/16,UTC,"RT @cspan: .@BernieSanders campaigns in Los Angeles - LIVE at 6pm ET on C-SPAN https://t.co/YOkmnDch1n https://t.co/bUOnetaJhJ",None,0,460,0.0
@BernieSanders,20:35:14,06/04/16,UTC,"RT @clairesandberg: Bernie kicks off canvassing in LA, gives a huge shoutout to the vols who have made over 70 mil calls since Jan! https:/…",None,0,1010,0.0
@BernieSanders,20:27:01,06/04/16,UTC,"We’re in the final stretch. Today’s the day to make sure you’re taking action: https://t.co/yoHk18FM0n https://t.co/tc64PA4kzX",None,2075,1080,0.0
@BernieSanders,18:43:06,06/04/16,UTC,"Progressives and Democrats win elections when people are energized, when they are prepared to stand up and fight to transform America.",None,11714,4094,0.0
@BernieSanders,18:39:56,06/04/16,UTC,"RT @cenkuygur: Every vote @BernieSanders gets is vote for the progressive movement and makes that movement stronger.Winning CA would be hug…",None,0,2575,0.0
@BernieSanders,16:30:13,06/04/16,UTC,"My plan to expand Social Security would increase benefits by about $1,300 annually for seniors scraping by on less than $16,000 a year.",None,4255,1451,0.0
@BernieSanders,14:37:38,06/04/16,UTC,"RT @kalpenn: Good luck in Tuesday's California Primary, @BernieSanders! #FeelTheBern 
Volunteer: https://t.co/ZiAzx8N3F9 https://t.co/pmcUx…",None,0,2501,0.0
@BernieSanders,14:28:01,06/04/16,UTC,"Our task this weekend is simple: call every single Bernie supporter we can and make sure they have a plan to vote:
https://t.co/WEqHsTQpjz",None,2656,1378,0.0
@BernieSanders,12:53:46,06/04/16,UTC,"Muhammad Ali was the greatest, not only an extraordinary athlete but a man of great courage and humanity.",None,10696,4354,0.0
